City,Price,Area,Numbers of Bedroom,Numbers of Bathroom,Type
New Cairo,"5,100,000", 225 m2,4,2,duplex
New Cairo,"3,800,000", 250 m2,3,4,town-house
New Cairo,"19,300,000", 465 m2,6,6,villa
New Administrative Capital,"8,000,000", 280 m2,5,4,twin-house
6th October,"3,498,000", 158 m2,2,2,apartment
New Cairo,"14,000,000", 440 m2,5,3,villa
Shorouk City,"1,977,000", 139 m2,2,2,apartment
Shorouk City,"2,040,000", 139 m2,2,2,apartment
New Cairo,"6,696,000", 216 m2,3,2,apartment
Sheikh Zayed,"3,850,000", 205 m2,4,3,apartment
New Cairo,"2,700,500", 180 m2,3,2,pent-house
New Administrative Capital,"1,286,250", 147 m2,3,2,apartment
New Cairo,"1,500,000", 140 m2,3,3,apartment
New Cairo,"1,810,000", 140 m2,3,2,apartment
New Cairo,"25,000,000", 350 m2,7,6,villa
New Administrative Capital,"3,576,000", 327 m2,5,3,pent-house
New Cairo,"2,200,000", 175 m2,3,3,apartment
Al Ain Al Sokhna,"6,250,000", 500 m2,6,5,villa
Al Ain Al Sokhna,"2,300,000", 120 m2,2,2,chalet
New Cairo,"2,974,300", 173 m2,3,3,apartment
New Cairo,"5,593,888", 144 m2,3,2,apartment
Mostakbal City,"2,160,000", 180 m2,3,2,apartment
New Cairo,"4,977,200", 352 m2,7,6,duplex
New Cairo,"3,103,105", 157 m2,3,2,apartment
New Cairo,"2,530,000", 220 m2,4,3,apartment
6th October,"4,400,000", 225 m2,4,3,town-house
New Cairo,"3,320,000", 190 m2,3,1,apartment
New Cairo,"2,200,000", 164 m2,3,3,apartment
Sheikh Zayed,"5,700,000", 230 m2,4,4,duplex
New Administrative Capital,"3,598,000", 257 m2,3,3,duplex
Al Ain Al Sokhna,"4,813,000", 150 m2,3,3,town-house
Mostakbal City,"1,070,000", 138 m2,3,2,apartment
New Cairo,"2,351,053", 140 m2,3,2,apartment
New Administrative Capital,"5,755,000", 330 m2,4,4,twin-house
New Cairo,"5,129,000", 237 m2,4,3,duplex
New Cairo,"4,480,000", 193 m2,3,2,pent-house
New Cairo,"2,100,000", 140 m2,3,2,apartment
Mostakbal City,"4,685,000", 230 m2,4,3,town-house
New Cairo,"3,900,000", 148 m2,3,3,apartment
Mostakbal City,"1,618,040", 144 m2,3,2,apartment
Mostakbal City,"3,307,800", 195 m2,4,3,apartment
New Cairo,"2,255,760", 129 m2,3,2,pent-house
New Cairo,"4,250,000", 400 m2,5,4,villa
New Administrative Capital,"4,000,000", 220 m2,3,2,apartment
New Cairo,"7,700,000", 360 m2,4,3,twin-house
New Cairo,"6,800,000", 303 m2,4,3,twin-house
New Administrative Capital,"6,655,000", 230 m2,4,3,town-house
Al Ain Al Sokhna,"21,558,000", 322 m2,7,6,villa
Sheikh Zayed,"3,600,000", 159 m2,3,2,apartment
Sheikh Zayed,"3,803,000", 180 m2,3,2,apartment
New Administrative Capital,"4,800,000", 230 m2,3,4,town-house
New Cairo,"13,340,852", 335 m2,3,2,villa
New Cairo,"2,557,913", 169 m2,3,2,apartment
6th October,"7,500,000", 330 m2,4,3,villa
New Cairo,"5,550,000", 225 m2,4,2,duplex
New Administrative Capital,"1,560,000", 98 m2,1,1,apartment
New Cairo,"12,500,000", 658 m2,7,5,villa
New Cairo,"2,840,000", 185 m2,3,2,apartment
New Cairo,"3,000,000", 280 m2,4,3,apartment
New Cairo,"688,000", 212 m2,3,3,apartment
Shorouk City,"3,115,000", 213 m2,3,2,apartment
Shorouk City,"3,141,000", 182 m2,3,2,apartment
Shorouk City,"2,549,000", 158 m2,3,2,apartment
Shorouk City,"2,694,000", 179 m2,3,2,apartment
New Cairo,"5,057,000", 236 m2,4,3,duplex
New Cairo,"21,000,000", 680 m2,6,5,twin-house
New Cairo,"23,000,000", 635 m2,4,4,villa
Sheikh Zayed,"42,000,000", 2500 m2,7,5,villa
Sheikh Zayed,"14,500,000", 375 m2,5,4,villa
Sheikh Zayed,"6,350,000", 329 m2,4,4,villa
New Cairo,"4,088,000", 187 m2,3,2,apartment
Sheikh Zayed,"7,649,000", 220 m2,5,4,villa
New Administrative Capital,"3,540,000", 300 m2,5,4,villa
6th October,"5,900,000", 240 m2,4,3,town-house
Sheikh Zayed,"5,000,000", 285 m2,4,4,duplex
Sheikh Zayed,"4,500,000", 315 m2,5,4,duplex
6th October,"1,800,000", 95 m2,2,2,apartment
6th October,"3,327,000", 186 m2,3,4,town-house
6th October,"1,000,000", 90 m2,2,2,apartment
6th October,"2,960,000", 253 m2,3,2,apartment
6th October,"1,850,000", 160 m2,3,3,apartment
New Administrative Capital,"10,700,000", 537 m2,7,4,villa
New Administrative Capital,"5,900,000", 387 m2,4,3,town-house
New Cairo,"1,713,192", 150 m2,3,2,apartment
New Administrative Capital,"4,700,000", 280 m2,4,3,twin-house
New Cairo,"1,800,000", 140 m2,2,2,apartment
New Administrative Capital,"2,838,000", 182 m2,3,2,apartment
Sheikh Zayed,"9,000,000", 320 m2,4,4,villa
Al Ain Al Sokhna,"4,293,000", 200 m2,3,3,town-house
Al Ain Al Sokhna,"1,600,000", 130 m2,3,2,chalet
Al Ain Al Sokhna,"1,850,000", 130 m2,3,2,chalet
Al Ain Al Sokhna,"1,650,000", 130 m2,3,2,chalet
Al Ain Al Sokhna,"1,480,000", 110 m2,2,1,chalet
Katameya City,"728,000", 56 m2,2,1,apartment
Katameya City,"1,001,000", 77 m2,1,1,apartment
Katameya City,"1,339,000", 103 m2,2,2,apartment
Katameya City,"1,676,999", 129 m2,3,2,apartment
New Administrative Capital,"850,000", 55 m2,1,1,studio
6th October,"5,669,460", 173 m2,3,3,apartment
New Cairo,"2,976,780", 197 m2,3,2,apartment
New Cairo,"4,880,000", 185 m2,4,3,villa
Sheikh Zayed,"5,700,000", 275 m2,4,4,villa
New Cairo,"3,800,000", 380 m2,4,4,town-house
New Cairo,"4,650,000", 250 m2,4,4,villa
New Cairo,"4,300,000", 255 m2,4,3,apartment
New Cairo,"1,950,000", 140 m2,2,2,apartment
New Cairo,"4,731,347", 181 m2,3,2,apartment
Sheikh Zayed,"4,500,000", 220 m2,4,3,villa
Sheikh Zayed,"3,250,000", 230 m2,4,3,villa
Sheikh Zayed,"9,000,000", 360 m2,4,3,villa
Sheikh Zayed,"3,700,000", 228 m2,4,3,twin-house
Sheikh Zayed,"5,200,000", 257 m2,4,3,twin-house
6th October,"6,042,000", 253 m2,4,3,villa
Al Ain Al Sokhna,"1,400,000", 42 m2,1,1,apartment
Mostakbal City,"1,200,000", 160 m2,3,3,apartment
Mostakbal City,"1,870,000", 245 m2,4,4,duplex
New Cairo,"831,000", 60 m2,1,1,studio
New Cairo,"1,450,000", 166 m2,3,3,apartment
Alexandria,"3,211,289", 166 m2,3,3,apartment
6th October,"3,638,250", 297 m2,4,3,twin-house
6th October,"4,800,000", 295 m2,4,3,twin-house
6th October,"12,000,000", 610 m2,5,6,villa
Sheikh Zayed,"5,300,000", 300 m2,4,4,town-house
Sheikh Zayed,"16,000,000", 350 m2,4,4,villa
Al Ain Al Sokhna,"1,400,000", 100 m2,2,2,apartment
Mostakbal City,"1,085,000", 107 m2,2,2,apartment
Al Ain Al Sokhna,"1,600,000", 95 m2,2,2,chalet
6th October,"2,020,000", 191 m2,3,4,apartment
New Cairo,"2,400,000", 199 m2,3,3,apartment
New Cairo,"1,550,000", 133 m2,2,2,apartment
New Cairo,"2,540,000", 156 m2,3,2,apartment
New Cairo,"12,000,000", 370 m2,4,5,twin-house
New Cairo,"14,500,000", 450 m2,5,5,villa
New Cairo,"18,000,000", 415 m2,4,4,villa
New Cairo,"16,000,000", 750 m2,5,5,villa
New Cairo,"1,268,000", 105 m2,2,2,apartment
New Cairo,"1,550,000", 137 m2,2,2,apartment
New Cairo,"5,254,337", 328 m2,5,6,villa
New Cairo,"3,100,000", 136 m2,2,2,apartment
Shorouk City,"1,790,000", 143 m2,2,2,apartment
Shorouk City,"2,619,192", 171 m2,3,2,apartment
Shorouk City,"2,021,167", 147 m2,3,2,apartment
Shorouk City,"5,683,356", 245 m2,5,3,town-house
New Cairo,"3,443,000", 185 m2,3,3,apartment
New Cairo,"2,110,720", 128 m2,2,2,apartment
Mostakbal City,"1,523,800", 122 m2,2,2,apartment
Mostakbal City,"4,319,651", 239 m2,5,3,town-house
Mostakbal City,"1,409,589", 123 m2,2,2,apartment
New Cairo,"1,926,978", 110 m2,2,2,apartment
Alex Desert Road,"3,958,500", 208 m2,3,3,town-house
New Cairo,"1,987,056", 115 m2,2,2,apartment
New Cairo,"2,033,878", 135 m2,2,2,apartment
New Administrative Capital,"4,025,000", 200 m2,5,5,town-house
6th October,"1,989,500", 173 m2,3,3,apartment
6th October,"2,593,500", 247 m2,3,3,apartment
New Administrative Capital,"9,620,000", 481 m2,5,5,villa
6th October,"1,756,762", 110 m2,2,2,apartment
6th October,"2,258,867", 150 m2,3,2,apartment
6th October,"2,211,000", 201 m2,3,3,apartment
6th October,"2,467,500", 235 m2,3,3,apartment
New Cairo,"2,260,970", 164 m2,3,2,apartment
New Cairo,"2,622,211", 169 m2,3,2,apartment
New Cairo,"2,712,229", 182 m2,3,2,apartment
Mostakbal City,"3,546,358", 170 m2,3,2,apartment
Mostakbal City,"2,486,400", 128 m2,3,2,apartment
Mostakbal City,"13,057,279", 244 m2,3,2,apartment
New Cairo,"3,061,244", 154 m2,3,2,apartment
New Cairo,"2,426,684", 139 m2,3,2,apartment
New Administrative Capital,"3,080,000", 280 m2,4,4,villa
New Mansoura City,"1,904,000", 136 m2,3,2,apartment
New Administrative Capital,"5,796,000", 322 m2,3,2,apartment
New Cairo,"1,803,200", 132 m2,3,2,apartment
New Administrative Capital,"3,864,000", 322 m2,3,4,duplex
New Mansoura City,"14,550,000", 485 m2,5,5,town-house
New Mansoura City,"5,790,000", 193 m2,3,2,apartment
New Administrative Capital,"2,155,684", 184 m2,3,2,apartment
New Mansoura City,"5,625,000", 375 m2,6,4,villa
New Administrative Capital,"2,317,000", 210 m2,4,3,apartment
Sheikh Zayed,"13,239,100", 348 m2,4,4,twin-house
Sheikh Zayed,"5,382,000", 208 m2,4,3,apartment
New Cairo,"1,960,400", 85 m2,1,1,apartment
New Administrative Capital,"1,774,500", 169 m2,3,2,apartment
New Cairo,"2,047,500", 160 m2,3,2,apartment
New Cairo,"2,450,000", 140 m2,3,2,apartment
New Cairo,"2,124,000", 126 m2,2,2,apartment
Shorouk City,"10,300,000", 340 m2,5,3,villa
Shorouk City,"10,200,000", 339 m2,5,3,villa
Shorouk City,"5,100,000", 244 m2,4,2,town-house
New Administrative Capital,"1,083,000", 190 m2,4,2,apartment
New Cairo,"2,173,440", 128 m2,3,2,apartment
Mostakbal City,"3,400,000", 233 m2,3,3,apartment
Mostakbal City,"3,250,000", 224 m2,3,3,apartment
Mostakbal City,"2,351,400", 143 m2,3,2,apartment
Mostakbal City,"7,800,000", 330 m2,5,3,villa
New Administrative Capital,"1,352,999", 109 m2,2,2,apartment
6th October,"3,030,169", 190 m2,3,3,apartment
New Cairo,"3,853,503", 210 m2,4,3,duplex
Nasr City,"1,000,000", 139 m2,3,2,apartment
Nasr City,"1,850,000", 236 m2,4,3,apartment
Nasr City,"1,600,000", 165 m2,3,2,apartment
Nasr City,"1,567,500", 165 m2,3,2,apartment
Katameya City,"450,000", 41 m2,1,1,studio
Katameya City,"1,350,000", 125 m2,2,2,apartment
Nasr City,"627,000", 55 m2,1,1,apartment
Nasr City,"686,800", 68 m2,1,1,apartment
6th October,"3,750,000", 335 m2,5,3,villa
Nasr City,"1,693,000", 110 m2,2,2,apartment
Nasr City,"1,896,000", 118 m2,2,2,apartment
Nasr City,"1,431,000", 112 m2,2,2,apartment
Nasr City,"1,527,000", 137 m2,2,2,apartment
Nasr City,"1,385,000", 100 m2,2,1,apartment
6th October,"1,636,000", 167 m2,2,2,duplex
New Cairo,"3,000,000", 320 m2,5,3,villa
6th October,"2,900,000", 266 m2,4,3,villa
Mostakbal City,"4,687,000", 375 m2,5,3,pent-house
New Cairo,"6,480,000", 270 m2,4,4,villa
New Cairo,"6,750,000", 270 m2,4,4,twin-house
