City,Price,Area,Numbers of Bedroom,Numbers of Bathroom,Type
New Administrative Capital,"3,260,000", 140 m2,3,2,apartment
New Administrative Capital,"1,609,000", 137 m2,3,2,apartment
New Administrative Capital,"3,300,000", 158 m2,3,3,apartment
New Administrative Capital,"2,358,000", 102 m2,2,1,apartment
New Administrative Capital,"3,430,000", 157 m2,3,3,apartment
New Administrative Capital,"3,500,000", 180 m2,3,3,apartment
New Administrative Capital,"3,750,000", 139 m2,3,2,apartment
New Administrative Capital,"5,304,000", 179 m2,3,2,apartment
New Administrative Capital,"2,000,000", 101 m2,2,1,apartment
New Administrative Capital,"2,215,000", 103 m2,2,1,apartment
New Cairo,"2,217,000", 198 m2,3,2,apartment
New Cairo,"2,269,000", 167 m2,3,2,apartment
New Cairo,"2,000,000", 168 m2,3,2,apartment
New Cairo,"4,350,000", 180 m2,3,2,apartment
New Cairo,"5,420,000", 180 m2,3,2,apartment
New Cairo,"4,200,000", 167 m2,3,2,apartment
New Cairo,"5,300,000", 172 m2,3,2,apartment
New Cairo,"5,700,000", 163 m2,3,2,apartment
New Cairo,"4,250,000", 165 m2,3,2,apartment
New Cairo,"5,790,000", 168 m2,3,2,apartment
New Cairo,"5,479,000", 175 m2,3,2,apartment
New Cairo,"6,800,000", 212 m2,4,2,apartment
New Cairo,"4,538,000", 163 m2,3,2,apartment
New Cairo,"2,179,000", 175 m2,3,2,apartment
New Cairo,"4,500,000", 163 m2,3,2,apartment
New Cairo,"1,270,000", 167 m2,3,2,apartment
New Cairo,"1,670,000", 198 m2,3,2,apartment
New Cairo,"7,000,000", 230 m2,3,2,apartment
New Cairo,"2,000,000", 168 m2,3,2,apartment
New Cairo,"4,350,000", 180 m2,3,2,apartment
New Cairo,"4,232,000", 167 m2,3,2,apartment
New Cairo,"4,280,000", 163 m2,3,2,apartment
New Cairo,"4,500,000", 170 m2,3,2,apartment
New Cairo,"4,000,000", 167 m2,3,2,apartment
New Cairo,"2,200,000", 198 m2,3,2,apartment
New Cairo,"4,000,000", 165 m2,3,2,apartment
New Cairo,"1,464,000", 163 m2,3,2,apartment
New Cairo,"4,100,000", 165 m2,3,2,apartment
New Cairo,"4,162,000", 176 m2,3,2,apartment
Sheikh Zayed,"3,000,000", 213 m2,4,3,town-house
Sheikh Zayed,"4,150,000", 196 m2,4,3,town-house
Sheikh Zayed,"1,150,000", 223 m2,4,3,town-house
Sheikh Zayed,"4,400,000", 210 m2,4,3,town-house
Sheikh Zayed,"3,800,000", 230 m2,4,3,town-house
Sheikh Zayed,"5,350,000", 320 m2,4,3,town-house
Sheikh Zayed,"5,295,000", 312 m2,4,3,town-house
Sheikh Zayed,"5,378,000", 269 m2,4,3,town-house
Sheikh Zayed,"5,400,000", 313 m2,4,3,town-house
Sheikh Zayed,"6,000,000", 220 m2,4,3,town-house
Sheikh Zayed,"16,500,000", 336 m2,4,3,town-house
Sheikh Zayed,"13,894,000", 290 m2,4,3,town-house
Sheikh Zayed,"10,935,000", 268 m2,4,3,town-house
Sheikh Zayed,"10,800,000", 320 m2,4,3,town-house
Sheikh Zayed,"7,800,000", 170 m2,4,3,town-house
Sheikh Zayed,"6,200,000", 245 m2,4,3,town-house
Sheikh Zayed,"10,000,000", 309 m2,4,3,town-house
Sheikh Zayed,"9,500,000", 350 m2,4,3,town-house
Sheikh Zayed,"7,000,000", 280 m2,4,3,town-house
Sheikh Zayed,"9,500,000", 308 m2,4,3,town-house
Sheikh Zayed,"4,900,000", 270 m2,4,3,town-house
Sheikh Zayed,"7,500,000", 333 m2,4,3,town-house
Sheikh Zayed,"4,700,000", 275 m2,4,3,town-house
Sheikh Zayed,"6,000,000", 306 m2,4,3,town-house
Sheikh Zayed,"7,500,000", 334 m2,4,3,town-house
New Cairo,"4,800,000", 151 m2,3,2,apartment
New Cairo,"5,100,000", 135 m2,3,2,apartment
New Cairo,"3,710,000", 176 m2,3,2,apartment
New Cairo,"3,360,000", 151 m2,3,2,apartment
New Cairo,"4,300,000", 108 m2,3,2,apartment
New Cairo,"4,200,000", 133 m2,3,2,apartment
New Cairo,"5,300,000", 173 m2,3,2,apartment
New Cairo,"3,790,000", 217 m2,3,2,apartment
New Cairo,"3,150,000", 127 m2,3,2,apartment
New Cairo,"3,325,000", 176 m2,3,2,apartment
New Cairo,"5,840,000", 202 m2,3,2,apartment
New Cairo,"3,200,000", 113 m2,3,2,apartment
New Cairo,"3,800,000", 108 m2,3,2,apartment
New Cairo,"2,900,000", 113 m2,3,2,apartment
New Cairo,"1,150,000", 157 m2,3,2,apartment
New Cairo,"3,450,000", 110 m2,3,2,apartment
New Cairo,"4,000,000", 133 m2,3,2,apartment
New Cairo,"3,400,000", 108 m2,3,2,apartment
New Cairo,"3,800,000", 217 m2,3,2,apartment
New Cairo,"3,900,000", 127 m2,3,2,apartment
New Cairo,"3,560,000", 177 m2,3,2,apartment
New Cairo,"5,000,000", 173 m2,3,2,apartment
New Cairo,"3,900,000", 133 m2,3,2,apartment
New Cairo,"2,570,000", 155 m2,3,2,apartment
New Cairo,"2,800,000", 168 m2,3,2,apartment
New Cairo,"2,550,000", 170 m2,3,2,apartment
New Cairo,"2,500,000", 194 m2,3,2,apartment
New Cairo,"1,600,000", 121 m2,3,2,apartment
New Cairo,"2,450,000", 153 m2,3,2,apartment
New Cairo,"2,050,000", 139 m2,3,2,apartment
New Cairo,"2,600,000", 164 m2,3,2,apartment
New Cairo,"3,590,000", 189 m2,3,2,apartment
New Cairo,"1,848,600", 125 m2,3,2,apartment
New Cairo,"2,100,000", 170 m2,3,2,apartment
New Cairo,"1,400,000", 155 m2,3,2,apartment
New Cairo,"1,500,000", 131 m2,3,2,apartment
New Cairo,"3,400,000", 125 m2,3,2,apartment
New Cairo,"2,000,000", 136 m2,3,2,apartment
New Cairo,"2,400,000", 156 m2,3,2,apartment
New Cairo,"2,500,000", 152 m2,3,2,apartment
New Cairo,"2,500,000", 194 m2,3,2,apartment
New Cairo,"2,500,000", 162 m2,3,2,apartment
New Cairo,"2,950,000", 186 m2,3,2,apartment
New Cairo,"2,782,000", 164 m2,3,2,apartment
New Cairo,"2,504,000", 153 m2,3,2,apartment
New Cairo,"1,618,000", 150 m2,3,2,apartment
New Cairo,"1,847,956", 153 m2,3,2,apartment
New Cairo,"1,850,000", 125 m2,3,2,apartment
New Cairo,"1,550,000", 135 m2,3,2,apartment
New Cairo,"1,600,000", 162 m2,3,2,apartment
New Cairo,"1,620,000", 173 m2,3,2,apartment
New Cairo,"1,538,000", 162 m2,3,2,apartment
New Cairo,"1,450,000", 168 m2,3,2,apartment
New Cairo,"1,750,000", 140 m2,3,2,apartment
New Cairo,"2,200,000", 170 m2,3,2,apartment
New Cairo,"1,600,000", 140 m2,3,2,apartment
New Cairo,"1,550,000", 163 m2,3,2,apartment
New Cairo,"1,600,000", 176 m2,3,2,apartment
New Cairo,"1,500,000", 168 m2,3,2,apartment
New Cairo,"1,340,000", 143 m2,3,2,apartment
New Cairo,"1,550,000", 140 m2,3,2,apartment
New Cairo,"2,500,000", 171 m2,3,2,apartment
New Cairo,"1,550,000", 127 m2,3,2,apartment
New Cairo,"2,250,000", 167 m2,3,2,apartment
New Cairo,"1,700,000", 140 m2,3,2,apartment
New Cairo,"1,650,000", 167 m2,3,2,apartment
New Cairo,"1,600,000", 130 m2,3,2,apartment
New Cairo,"1,750,000", 171 m2,3,2,apartment
New Cairo,"1,390,000", 140 m2,3,2,apartment
New Cairo,"1,640,000", 185 m2,3,2,apartment
New Cairo,"1,250,000", 131 m2,3,2,apartment
New Cairo,"1,350,000", 132 m2,3,2,apartment
New Cairo,"1,550,000", 140 m2,3,2,apartment
Sheikh Zayed,"6,500,000", 303 m2,5,4,villa
Sheikh Zayed,"4,500,000", 304 m2,5,4,villa
Sheikh Zayed,"13,000,000", 457 m2,6,4,villa
Sheikh Zayed,"4,800,000", 306 m2,5,4,villa
Sheikh Zayed,"4,750,000", 308 m2,5,4,villa
Sheikh Zayed,"6,750,000", 222 m2,4,4,villa
Sheikh Zayed,"6,050,000", 275 m2,5,4,villa
Sheikh Zayed,"5,500,000", 290 m2,5,4,villa
Sheikh Zayed,"2,990,000", 223 m2,4,3,villa
Sheikh Zayed,"4,500,000", 220 m2,4,3,villa
Sheikh Zayed,"6,300,000", 227 m2,5,4,villa
Sheikh Zayed,"17,000,000", 836 m2,6,4,villa
Sheikh Zayed,"26,500,000", 1150 m2,5,4,villa
Sheikh Zayed,"23,500,000", 904 m2,6,4,villa
Sheikh Zayed,"27,000,000", 755 m2,5,4,villa
Sheikh Zayed,"18,000,000", 800 m2,6,4,villa
Sheikh Zayed,"18,500,000", 550 m2,5,4,villa
Sheikh Zayed,"12,000,000", 270 m2,4,3,villa
Sheikh Zayed,"12,000,000", 310 m2,4,3,villa
Sheikh Zayed,"10,800,000", 340 m2,4,4,villa
Sheikh Zayed,"10,800,000", 320 m2,4,4,villa
Sheikh Zayed,"7,800,000", 170 m2,3,3,villa
Sheikh Zayed,"13,900,000", 373 m2,5,4,villa
Sheikh Zayed,"6,000,000", 216 m2,3,3,villa
New Cairo,"3,400,000", 225 m2,3,3,villa
New Cairo,"3,200,000", 190 m2,3,3,villa
New Cairo,"2,855,000", 244 m2,4,3,villa
New Cairo,"1,000,000", 233 m2,3,2,villa
New Cairo,"2,750,000", 222 m2,3,3,villa
New Cairo,"3,700,000", 234 m2,3,3,villa
New Cairo,"3,550,000", 289 m2,3,3,villa
New Cairo,"6,391,000", 225 m2,4,3,villa
New Cairo,"3,400,000", 288 m2,4,3,villa
New Cairo,"2,750,000", 224 m2,3,3,villa
New Cairo,"8,000,000", 452 m2,5,4,villa
New Cairo,"7,000,000", 400 m2,5,3,villa
New Cairo,"2,750,000", 229 m2,3,3,villa
New Cairo,"2,850,000", 231 m2,4,3,villa
New Cairo,"3,400,000", 301 m2,3,3,villa
New Cairo,"3,500,000", 300 m2,3,3,villa
New Cairo,"3,200,000", 236 m2,4,4,villa
New Cairo,"4,300,000", 305 m2,4,3,villa
New Cairo,"3,500,000", 200 m2,3,3,villa
New Cairo,"3,500,000", 287 m2,4,4,villa
New Cairo,"7,800,000", 379 m2,5,3,villa
New Cairo,"2,750,000", 225 m2,3,3,villa
New Cairo,"3,550,000", 210 m2,3,3,villa
New Cairo,"2,700,000", 230 m2,3,3,villa
New Cairo,"3,200,000", 237 m2,3,3,villa
New Cairo,"3,350,000", 180 m2,5,3,villa
New Cairo,"3,385,000", 282 m2,5,3,villa
New Cairo,"2,000,000", 400 m2,5,3,villa
New Cairo,"3,528,000", 190 m2,5,3,villa
New Cairo,"13,000,000", 390 m2,5,3,villa
New Cairo,"9,500,000", 303 m2,5,3,villa
New Cairo,"11,250,000", 365 m2,5,3,villa
New Cairo,"12,500,000", 532 m2,5,3,villa
New Cairo,"11,200,000", 449 m2,5,3,villa
New Cairo,"12,150,000", 385 m2,5,3,villa
New Cairo,"10,180,000", 343 m2,5,3,villa
New Cairo,"8,650,000", 294 m2,5,3,villa
New Cairo,"6,890,000", 228 m2,5,3,villa
New Cairo,"3,593,000", 322 m2,5,3,villa
New Cairo,"1,900,000", 385 m2,5,3,villa
New Cairo,"1,300,000", 238 m2,5,3,villa
New Cairo,"26,964,572", 390 m2,5,3,villa
New Cairo,"14,000,000", 240 m2,5,3,villa
New Cairo,"1,800,000", 300 m2,5,3,villa
New Cairo,"7,300,000", 320 m2,4,3,villa
New Cairo,"8,500,000", 375 m2,4,3,villa
New Cairo,"6,500,000", 250 m2,4,3,villa
New Cairo,"6,300,000", 324 m2,4,3,villa
New Cairo,"7,994,400", 374 m2,4,3,villa
6th October,"1,945,000", 182 m2,3,3,apartment
6th October,"1,877,000", 168 m2,3,2,apartment
6th October,"2,500,000", 224 m2,4,3,apartment
6th October,"1,617,000", 158 m2,3,3,apartment
6th October,"1,700,000", 143 m2,3,2,apartment
6th October,"1,050,000", 103 m2,2,1,apartment
6th October,"1,800,000", 177 m2,3,3,apartment
6th October,"1,610,000", 144 m2,3,2,apartment
6th October,"1,939,000", 179 m2,3,3,apartment
6th October,"1,200,000", 145 m2,3,2,apartment
6th October,"1,500,000", 147 m2,3,2,apartment
6th October,"2,060,000", 175 m2,3,3,apartment
6th October,"1,360,000", 112 m2,2,1,apartment
6th October,"2,590,000", 230 m2,3,3,apartment
6th October,"2,117,000", 187 m2,3,3,apartment
6th October,"1,920,000", 168 m2,3,2,apartment
6th October,"1,940,000", 169 m2,3,2,apartment
6th October,"2,265,000", 180 m2,3,3,apartment
6th October,"1,940,000", 181 m2,3,2,apartment
6th October,"1,357,000", 111 m2,2,2,apartment
6th October,"1,272,000", 105 m2,2,1,apartment
6th October,"800,000", 80 m2,2,1,apartment
6th October,"1,357,000", 110 m2,2,2,apartment
6th October,"1,939,000", 180 m2,3,2,apartment
6th October,"650,000", 48 m2,1,1,apartment
Mostakbal City,"1,000,000", 60 m2,1,1,apartment
Mostakbal City,"2,041,864", 150 m2,3,3,apartment
Mostakbal City,"1,700,000", 122 m2,2,1,apartment
Mostakbal City,"3,500,000", 191 m2,3,2,apartment
Mostakbal City,"2,490,000", 200 m2,3,3,apartment
Mostakbal City,"2,377,000", 175 m2,3,3,apartment
Mostakbal City,"2,000,000", 110 m2,2,2,apartment
Mostakbal City,"1,464,000", 125 m2,2,2,apartment
Mostakbal City,"2,500,000", 179 m2,3,3,apartment
Mostakbal City,"2,000,000", 109 m2,2,2,apartment
Mostakbal City,"2,952,000", 164 m2,3,2,apartment
Mostakbal City,"1,700,000", 111 m2,2,1,apartment
Mostakbal City,"3,700,000", 172 m2,3,3,apartment
Mostakbal City,"1,942,914", 159 m2,3,3,apartment
Mostakbal City,"2,474,909", 128 m2,2,2,apartment
Mostakbal City,"2,100,000", 148 m2,3,3,apartment
Mostakbal City,"1,210,000", 83 m2,1,1,apartment
Mostakbal City,"1,565,000", 112 m2,2,3,apartment
Mostakbal City,"2,660,000", 160 m2,3,3,apartment
Mostakbal City,"3,400,000", 198 m2,3,3,apartment
Mostakbal City,"2,370,508", 158 m2,3,3,apartment
Mostakbal City,"2,370,000", 170 m2,3,3,apartment
Mostakbal City,"3,065,000", 225 m2,3,4,apartment
Mostakbal City,"2,300,000", 185 m2,3,3,apartment
Mostakbal City,"3,150,000", 230 m2,3,4,apartment
New Cairo,"1,600,000", 182 m2,4,3,apartment
New Cairo,"2,167,000", 152 m2,3,2,apartment
New Cairo,"2,270,000", 164 m2,3,3,apartment
New Cairo,"1,100,000", 58 m2,1,1,apartment
New Cairo,"2,550,000", 158 m2,3,2,apartment
New Cairo,"2,240,000", 139 m2,2,2,apartment
New Cairo,"2,550,000", 150 m2,3,2,apartment
New Cairo,"2,375,000", 171 m2,3,3,apartment
New Cairo,"1,567,000", 59 m2,1,1,apartment
New Cairo,"4,300,000", 260 m2,4,4,apartment
New Cairo,"1,200,000", 126 m2,2,2,apartment
New Cairo,"1,111,000", 148 m2,2,1,apartment
New Cairo,"1,104,000", 131 m2,2,1,apartment
New Cairo,"1,303,000", 185 m2,4,3,apartment
New Cairo,"1,800,000", 114 m2,2,2,apartment
New Cairo,"2,622,000", 184 m2,3,2,apartment
New Cairo,"1,230,000", 174 m2,3,3,apartment
New Cairo,"2,300,000", 155 m2,3,2,apartment
New Cairo,"2,000,000", 130 m2,2,2,apartment
New Cairo,"1,104,000", 127 m2,2,1,apartment
New Cairo,"1,303,000", 182 m2,4,3,apartment
New Cairo,"1,100,000", 133 m2,3,3,apartment
New Cairo,"1,230,000", 173 m2,3,2,apartment
New Cairo,"2,622,000", 182 m2,3,2,apartment
New Cairo,"2,375,000", 172 m2,3,2,apartment
New Cairo,"3,235,000", 185 m2,4,3,apartment
New Cairo,"2,450,000", 287 m2,4,4,apartment
New Cairo,"2,000,000", 120 m2,2,2,apartment
New Cairo,"2,450,000", 208 m2,3,3,apartment
New Cairo,"1,900,000", 115 m2,2,2,apartment
New Cairo,"1,250,000", 83 m2,1,2,studio
New Cairo,"2,450,000", 200 m2,4,3,apartment
New Cairo,"2,000,000", 144 m2,2,2,apartment
New Cairo,"2,300,000", 166 m2,3,3,apartment
New Cairo,"3,200,000", 167 m2,3,3,apartment
New Cairo,"3,000,000", 247 m2,3,3,apartment
New Cairo,"1,700,000", 140 m2,2,2,apartment
New Cairo,"3,019,445", 134 m2,2,3,apartment
New Cairo,"2,050,000", 141 m2,3,1,apartment
New Cairo,"2,950,000", 278 m2,4,5,apartment
New Cairo,"3,000,000", 202 m2,3,3,apartment
New Cairo,"2,300,000", 135 m2,2,2,apartment
New Cairo,"5,407,181", 172 m2,3,3,apartment
New Cairo,"1,920,000", 161 m2,3,2,apartment
New Cairo,"2,400,000", 199 m2,3,3,apartment
New Cairo,"3,000,000", 274 m2,4,3,apartment
New Cairo,"1,750,000", 133 m2,2,2,apartment
New Cairo,"1,900,000", 160 m2,3,2,apartment
New Administrative Capital,"3,500,000", 245 m2,4,2,duplex
New Administrative Capital,"5,500,000", 255 m2,4,3,duplex
New Administrative Capital,"5,200,000", 256 m2,4,3,duplex
New Administrative Capital,"5,000,000", 254 m2,4,3,duplex
New Administrative Capital,"4,400,000", 253 m2,4,2,duplex
New Administrative Capital,"4,320,000", 252 m2,4,3,duplex
New Administrative Capital,"4,200,000", 250 m2,4,2,duplex
New Administrative Capital,"4,000,000", 250 m2,4,2,duplex
New Administrative Capital,"3,660,000", 249 m2,4,2,duplex
New Administrative Capital,"4,400,000", 360 m2,5,3,apartment
New Administrative Capital,"3,000,000", 310 m2,4,3,apartment
New Administrative Capital,"1,800,000", 110 m2,2,2,apartment
New Administrative Capital,"2,789,000", 300 m2,4,2,apartment
New Administrative Capital,"2,650,000", 250 m2,3,2,apartment
New Administrative Capital,"2,300,000", 200 m2,3,2,apartment
New Administrative Capital,"2,235,000", 215 m2,3,3,apartment
New Administrative Capital,"2,000,000", 200 m2,3,2,apartment
New Administrative Capital,"1,980,000", 160 m2,3,2,apartment
New Administrative Capital,"7,500,000", 350 m2,5,4,villa
New Administrative Capital,"7,000,000", 340 m2,5,4,villa
New Administrative Capital,"7,000,000", 345 m2,5,4,villa
New Administrative Capital,"6,500,000", 256 m2,5,3,villa
New Administrative Capital,"6,000,000", 250 m2,4,3,villa
New Administrative Capital,"6,000,000", 235 m2,4,3,villa
New Administrative Capital,"5,500,000", 230 m2,4,3,villa
New Administrative Capital,"5,200,000", 226 m2,4,3,villa
New Administrative Capital,"5,000,000", 224 m2,4,3,villa
New Administrative Capital,"4,200,000", 202 m2,3,3,villa
New Administrative Capital,"4,000,000", 240 m2,4,3,apartment
New Administrative Capital,"3,620,000", 220 m2,3,3,apartment
New Administrative Capital,"3,400,000", 200 m2,3,2,apartment
New Administrative Capital,"3,000,000", 198 m2,3,2,apartment
New Administrative Capital,"2,850,000", 182 m2,3,2,apartment
Shorouk City,"2,260,000", 183 m2,3,2,apartment
New Administrative Capital,"2,200,000", 100 m2,3,2,apartment
New Administrative Capital,"2,000,000", 95 m2,2,2,apartment
New Administrative Capital,"1,500,000", 80 m2,2,2,apartment
Shorouk City,"2,200,000", 170 m2,3,2,apartment
New Administrative Capital,"1,450,000", 75 m2,2,2,apartment
New Administrative Capital,"1,300,000", 70 m2,2,2,apartment
Shorouk City,"2,390,000", 210 m2,3,2,apartment
Shorouk City,"1,790,250", 155 m2,3,2,apartment
Shorouk City,"1,980,000", 160 m2,3,2,apartment
Shorouk City,"2,602,000", 179 m2,3,2,apartment
Shorouk City,"2,600,000", 124 m2,3,2,apartment
Shorouk City,"1,182,550", 122 m2,3,2,apartment
Shorouk City,"2,300,000", 161 m2,3,2,apartment
Shorouk City,"2,300,000", 160 m2,3,2,apartment
Shorouk City,"3,200,000", 180 m2,3,2,apartment
Sheikh Zayed,"5,500,430", 232 m2,4,3,pent-house
New Administrative Capital,"1,930,000", 115 m2,2,2,apartment
Shorouk City,"2,280,000", 162 m2,3,2,apartment
Shorouk City,"1,900,000", 160 m2,3,2,apartment
Shorouk City,"1,850,000", 165 m2,3,2,apartment
Shorouk City,"3,450,000", 270 m2,3,2,apartment
Shorouk City,"3,400,000", 275 m2,3,2,apartment
Shorouk City,"1,970,000", 165 m2,3,2,apartment
Shorouk City,"1,980,000", 160 m2,3,2,apartment
Shorouk City,"2,640,000", 185 m2,3,2,apartment
Shorouk City,"1,900,000", 160 m2,3,2,apartment
Shorouk City,"2,300,000", 189 m2,3,2,apartment
Shorouk City,"1,750,000", 177 m2,3,2,apartment
Shorouk City,"3,500,000", 212 m2,3,2,apartment
Shorouk City,"2,282,000", 193 m2,3,2,apartment
Shorouk City,"1,970,000", 174 m2,3,2,apartment
New Cairo,"9,600,000", 348 m2,5,4,twin-house
New Cairo,"7,850,000", 322 m2,3,4,twin-house
New Cairo,"13,484,000", 344 m2,6,5,twin-house
New Cairo,"6,700,000", 190 m2,3,3,twin-house
New Cairo,"9,530,000", 354 m2,4,3,twin-house
New Cairo,"6,000,000", 229 m2,4,3,twin-house
New Cairo,"9,400,000", 230 m2,3,3,twin-house
New Cairo,"9,740,000", 341 m2,5,4,twin-house
New Cairo,"7,500,000", 319 m2,5,4,twin-house
New Cairo,"9,207,415", 338 m2,4,3,twin-house
New Cairo,"10,000,000", 240 m2,4,3,twin-house
New Cairo,"11,000,000", 231 m2,3,3,twin-house
New Cairo,"6,100,000", 230 m2,3,3,twin-house
New Cairo,"8,500,000", 340 m2,3,4,twin-house
New Cairo,"10,500,000", 355 m2,4,4,twin-house
New Cairo,"8,500,000", 314 m2,4,3,twin-house
New Cairo,"8,750,000", 354 m2,5,4,twin-house
New Cairo,"8,693,000", 348 m2,4,4,twin-house
New Cairo,"8,000,000", 229 m2,4,3,twin-house
New Cairo,"10,926,385", 350 m2,4,4,twin-house
New Cairo,"8,700,000", 320 m2,4,3,twin-house
New Cairo,"8,600,000", 340 m2,4,3,twin-house
New Cairo,"9,550,000", 310 m2,4,3,twin-house
New Cairo,"6,700,000", 200 m2,3,3,twin-house
New Cairo,"7,200,000", 328 m2,4,3,twin-house
New Cairo,"3,050,000", 219 m2,3,3,apartment
New Cairo,"2,600,000", 197 m2,3,3,apartment
New Cairo,"2,100,000", 159 m2,3,3,apartment
New Cairo,"2,600,000", 117 m2,2,3,apartment
New Cairo,"1,950,000", 122 m2,3,2,apartment
New Cairo,"2,650,000", 217 m2,4,3,apartment
New Cairo,"3,000,000", 176 m2,3,2,apartment
New Cairo,"1,700,000", 105 m2,2,1,apartment
New Cairo,"1,300,000", 128 m2,2,2,apartment
New Cairo,"3,250,000", 220 m2,3,4,apartment
New Cairo,"2,500,000", 179 m2,3,3,apartment
New Cairo,"1,900,000", 134 m2,3,2,apartment
New Cairo,"1,850,000", 78 m2,1,1,apartment
New Cairo,"1,900,000", 109 m2,2,1,apartment
New Cairo,"1,850,000", 130 m2,2,2,apartment
New Cairo,"2,500,000", 167 m2,3,2,apartment
New Cairo,"1,800,000", 142 m2,3,3,apartment
New Cairo,"2,300,000", 171 m2,3,2,apartment
New Cairo,"2,200,000", 136 m2,3,3,apartment
New Cairo,"2,580,000", 215 m2,3,3,apartment
New Cairo,"2,800,000", 178 m2,3,4,apartment
New Cairo,"2,100,000", 147 m2,3,2,apartment
New Cairo,"2,200,000", 165 m2,3,2,apartment
New Cairo,"1,550,000", 146 m2,3,2,apartment
New Cairo,"4,000,000", 233 m2,4,3,town-house
New Cairo,"3,600,000", 125 m2,4,3,town-house
New Cairo,"3,600,000", 197 m2,4,3,town-house
New Cairo,"4,500,000", 235 m2,4,3,town-house
New Cairo,"3,950,000", 200 m2,4,3,town-house
New Cairo,"4,700,000", 251 m2,4,3,town-house
New Cairo,"4,500,000", 340 m2,4,3,town-house
New Cairo,"4,350,000", 220 m2,4,3,town-house
New Cairo,"6,955,000", 247 m2,4,3,town-house
New Cairo,"4,025,000", 197 m2,4,3,town-house
New Cairo,"4,000,000", 197 m2,4,3,town-house
New Cairo,"4,250,000", 188 m2,4,3,town-house
New Cairo,"5,982,250", 250 m2,4,3,town-house
New Cairo,"4,200,000", 223 m2,4,3,town-house
New Cairo,"2,800,000", 160 m2,4,3,town-house
New Cairo,"4,000,000", 220 m2,4,3,town-house
New Cairo,"7,452,000", 247 m2,4,3,town-house
New Cairo,"4,900,000", 234 m2,4,3,town-house
New Cairo,"3,700,000", 197 m2,4,3,town-house
New Cairo,"8,500,000", 320 m2,4,3,town-house
New Cairo,"6,000,500", 243 m2,4,3,town-house
New Cairo,"3,879,400", 247 m2,4,3,town-house
New Cairo,"4,200,000", 214 m2,4,3,town-house
New Cairo,"3,600,000", 197 m2,4,3,town-house
New Cairo,"5,025,000", 248 m2,4,3,town-house
Sheikh Zayed,"4,428,160", 190 m2,3,3,pent-house
Sheikh Zayed,"5,626,423", 243 m2,4,3,pent-house
Sheikh Zayed,"5,200,210", 225 m2,4,3,pent-house
Sheikh Zayed,"4,520,200", 120 m2,3,3,pent-house
Sheikh Zayed,"4,358,160", 203 m2,4,2,duplex
Sheikh Zayed,"5,526,433", 246 m2,4,3,duplex
Sheikh Zayed,"5,500,430", 240 m2,4,3,duplex
Sheikh Zayed,"5,220,210", 220 m2,4,3,duplex
Sheikh Zayed,"4,620,200", 207 m2,4,2,duplex
Sheikh Zayed,"4,350,213", 190 m2,3,2,apartment
Sheikh Zayed,"4,319,620", 210 m2,3,2,apartment
Sheikh Zayed,"4,293,600", 206 m2,3,2,apartment
Sheikh Zayed,"4,279,528", 203 m2,3,2,apartment
Sheikh Zayed,"2,627,835", 123 m2,2,2,apartment
Sheikh Zayed,"3,269,315", 149 m2,2,2,apartment
Sheikh Zayed,"6,800,000", 400 m2,6,4,villa
Sheikh Zayed,"2,975,000", 175 m2,3,2,apartment
Sheikh Zayed,"5,610,000", 330 m2,5,3,town-house
Sheikh Zayed,"3,740,000", 220 m2,4,2,town-house
Sheikh Zayed,"4,760,000", 280 m2,4,3,villa
Sheikh Zayed,"2,210,000", 130 m2,3,2,apartment
Sheikh Zayed,"2,380,000", 140 m2,3,2,apartment
Sheikh Zayed,"1,785,000", 105 m2,2,2,apartment
Sheikh Zayed,"2,720,000", 160 m2,3,2,apartment
Sheikh Zayed,"4,165,000", 245 m2,4,2,apartment
Sheikh Zayed,"3,910,000", 230 m2,4,2,villa
Sheikh Zayed,"5,100,000", 300 m2,5,3,villa
Sheikh Zayed,"1,870,000", 110 m2,2,2,apartment
Sheikh Zayed,"2,550,000", 150 m2,3,2,apartment
Sheikh Zayed,"1,700,000", 100 m2,2,2,apartment
Sheikh Zayed,"1,598,000", 94 m2,2,1,apartment
Sheikh Zayed,"1,530,000", 90 m2,2,1,apartment
Sheikh Zayed,"3,210,000", 134 m2,2,2,apartment
Sheikh Zayed,"1,500,000", 86 m2,2,1,apartment
New Cairo,"8,100,000", 287 m2,4,3,pent-house
New Cairo,"8,000,000", 284 m2,4,3,pent-house
Sheikh Zayed,"3,000,900", 130 m2,2,2,apartment
New Cairo,"7,900,000", 283 m2,4,3,pent-house
New Cairo,"7,400,000", 330 m2,4,3,duplex
New Cairo,"7,300,000", 322 m2,4,3,duplex
New Cairo,"7,200,000", 320 m2,4,3,duplex
New Cairo,"7,100,000", 319 m2,4,3,duplex
New Cairo,"5,800,000", 266 m2,4,2,apartment
New Cairo,"5,400,000", 260 m2,3,3,apartment
New Cairo,"5,230,000", 240 m2,3,3,apartment
New Cairo,"5,100,000", 200 m2,3,3,apartment
New Cairo,"4,500,000", 190 m2,3,3,apartment
New Cairo,"4,600,000", 185 m2,3,3,apartment
New Cairo,"4,280,000", 180 m2,3,2,apartment
New Cairo,"3,790,000", 171 m2,3,2,apartment
New Cairo,"4,000,000", 172 m2,3,2,apartment
New Cairo,"3,110,000", 170 m2,3,2,apartment
Sheikh Zayed,"2,700,840", 125 m2,2,2,apartment
